,mae,mae_main_etf,r2_score,r2_score_main_etf,shapiro_normal,pearson_normal,ks_normal,chisquare_normal,shapiro_normal_main_etf,pearson_normal_main_etf,ks_normal_main_etf,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
AFRM,1.6069908950742418,1.555490421320864,0.022492836661707427,0.026087994453276253,False,False,False,False,False,False,False,False,30,30,4.389344815711984,4.375052323417095,1.8536924507291999,-0.043778110212837035,-1.8974705609420368,1.809914340516363,-3.751163011671237,3.6636067912455625,,
NFLX,0.48010675946503817,0.4530475071491716,-0.10257205310806694,0.0263712625742214,False,False,False,False,False,False,False,False,36,28,1.1593936060418117,1.2873800665859,0.6060405881420932,0.05687768781716735,-0.5491629003249258,0.6629182759592606,-1.155203488467019,1.2689588641013536,0.18434103701388438,0.15041895930544058
ZEN,0.47116743276185596,0.4952744739809986,0.14420508836757273,0.23486854752571362,False,False,False,True,False,False,False,True,37,38,1.0951075215552062,1.0802089597463962,0.9708304715519733,-0.013262910442971825,-0.9840933819949451,0.9575675611090015,-1.9549238535469184,1.9283980326609749,0.3304931653228994,0.30260897059952396
NCR,0.5907772525119319,0.7092059188464963,0.1495809804388244,0.04550503173185949,False,False,False,False,False,False,False,True,34,42,1.4002532391315032,1.478581782195696,0.9041115217331588,0.09862468403297667,-0.8054868377001821,1.0027362057661355,-1.7095983594333408,1.9068477274992943,0.3993295642175717,0.08378490866067412
NTNX,0.6606484741590221,0.6473785184753678,0.18264891440286812,0.20471968959726716,False,False,False,False,False,False,False,False,29,30,1.791023238014638,1.7598417850768364,0.9698892106217586,-0.057698232833362166,-1.0275874434551207,0.9121909777883964,-1.9974766540768794,1.882080188410155,0.40846161855933805,0.3682693894202529
PAYO,0.8662352684352335,0.7312578228539289,-0.29829003030762014,-0.09090328654183621,False,False,False,False,False,False,False,False,41,33,1.8756383577154527,1.9035034231704797,0.7252452949573391,0.169461658017938,-0.5557836369394011,0.8947069529752771,-1.2810289318967403,1.6199522479326163,-0.012435902040630165,-0.0547808250700752
RXT,0.8987373696250737,0.8817093148591109,0.034528561964410454,0.02808662553824326,False,False,False,False,False,False,False,False,24,27,2.8633653925057097,2.5797023549832887,1.9125947146576552,-0.0919038297395861,-2.0044985443972414,1.8206908849180692,-3.9170932590548966,3.733285599575724,0.12008547319120366,0.06892248505109444
RIOT,3.1084707108372895,2.9390674687366696,0.009893436783956044,0.052327137964971016,False,False,False,False,False,False,False,False,44,44,6.138512793433674,6.0024494176896335,3.6443794850767377,-0.20332141378141366,-3.847700898858151,3.4410580712953243,-7.492080383934889,7.085437556372062,,
FISV,0.34715561744340656,0.39922529992726496,0.10718903996220419,0.14310713391131702,False,False,False,True,False,False,False,True,35,46,0.8174054602770405,0.7735568721100133,0.4997851397660134,0.07648011144766315,-0.42330502831835026,0.5762652512136766,-0.9230901680843637,1.07605039097969,0.328999442669886,0.19891669124378974
ATVI,0.5035524720564358,0.47163025207212156,-0.2852821504692975,0.013433004445372765,False,False,False,False,False,False,False,True,29,29,1.4541833883452562,1.2397265529118993,0.5875464255891035,0.10360692535074148,-0.4839395002383621,0.691153350939845,-1.0714859258274656,1.2786997765289485,0.24928364141604842,0.19502012968475368
MSFT,0.32267068897447676,0.3484557321472882,0.26046655780945605,0.25076547001937055,False,False,False,True,False,False,False,True,45,43,0.6183829024113147,0.6659487753756438,0.5664680362772672,0.05052169387366997,-0.5159463424035972,0.6169897301509372,-1.0824143786808644,1.1834577664282042,0.4057360640681159,0.35870378729323316
INTU,0.41744676431799577,0.4244861315430703,0.04782289532253037,0.0631221692202395,False,False,False,True,False,False,False,True,36,40,0.9323620156644128,0.8855354971863709,0.6536176734269419,0.09828506647373145,-0.5553326069532104,0.7519027399006734,-1.2089502803801524,1.4055204133276151,0.28491294472460116,0.2342181481747334
DT,0.8060541624371829,0.62480115600034,-0.7246315391803773,0.2501251561692146,False,False,False,False,False,False,False,True,35,34,1.9558634635606962,1.5395456136299015,1.144628614423047,0.10872298868271804,-1.035905625740329,1.2533516031057652,-2.180534240163376,2.3979802175288123,0.35251498205746823,0.3306926242313928
SNAP,0.9685509768716751,1.0258126069370517,0.07163152730185507,0.07713787978516051,False,False,False,False,False,False,False,False,32,37,2.5221073208954294,2.376912121551349,1.2886589972751128,-0.06898826140222009,-1.357647258677333,1.2196707358728927,-2.6463062559524455,2.5083297331480057,0.23517146091751373,0.23044699233020827
PLTR,1.0616491871293732,0.7581661560537396,-0.4151280137952955,0.12416393477380683,False,False,False,False,False,False,False,False,40,29,2.334578011654574,2.1313053545105567,1.2594919397936784,-0.009012704555811556,-1.2685046443494898,1.2504792352378669,-2.5279965841431684,2.509971175031545,,
ETSY,0.8222367233753635,0.8014990773656795,0.032131765651344346,0.05468421923072875,False,False,False,False,False,False,False,False,26,28,2.5506190938292765,2.3969494305098067,1.2091023444562405,0.05248228206689539,-1.1566200623893452,1.2615846265231359,-2.3657224068455855,2.4706869709793766,0.38599102067586666,0.332854881186071
CRM,0.46648811123902123,0.4842328526144798,0.06956064681607776,0.057155171612809474,False,False,False,True,False,False,False,True,38,34,1.0640294525617167,1.1533362246679244,0.5840114898748702,0.08504835686778602,-0.49896313300708417,0.6690598467426562,-1.0829746228819543,1.2530713366175263,0.30204762845996913,0.27690714124402593
XRX,0.39095874027555816,0.5546461063830345,0.08096496575552092,0.11851844915323106,False,False,False,True,False,False,False,True,39,50,0.8514294069040991,0.9828438032664916,0.7616826285351318,0.039869571520046006,-0.7218130570150858,0.8015522000551778,-1.4834956855502175,1.5632348285903097,0.475382452866037,0.12129538686664554
BMBL,0.814815875148749,0.8499948741647801,0.14466611976580057,0.14104654912079795,False,False,False,True,False,False,False,True,43,43,1.6977305786357446,1.7450798205721623,1.215793602401454,0.10762973606317988,-1.108163866338274,1.323423338464634,-2.323957468739728,2.539216940866088,0.30897006024471474,0.24136323163276574
CDNS,0.4379989026877093,0.47136972870042315,0.17357588659732237,0.16817448798800327,False,False,False,True,False,False,False,True,37,39,0.9934913574160038,1.023568648566083,0.7942383083052436,0.018277167063625862,-0.7759611412416177,0.8125154753688694,-1.5701994495468612,1.606753783674113,0.4277256973875523,0.35866789342097427
